,DeviceId,Time,Parking_Status
146,['00-80-00-00-04-01-9f-d7'],2021-06-24T03:27:39.800624Z,1
147,['00-80-00-00-04-01-9f-d7'],2021-08-06T09:50:47.373293Z,1
148,['00-80-00-00-04-01-9f-d7'],2021-07-12T02:57:10.822909Z,1
149,['00-80-00-00-04-01-9f-d7'],2021-07-12T13:41:25.977855Z,0
150,['00-80-00-00-04-01-9f-d7'],2021-06-03T11:14:16.423297Z,1
151,['00-80-00-00-04-01-9f-d7'],2021-06-08T06:48:28.986591Z,1
152,['00-80-00-00-04-01-9f-d7'],2021-08-07T20:26:42.786207Z,0
153,['00-80-00-00-04-01-9f-d7'],2021-07-25T09:45:50.398612Z,0
154,['00-80-00-00-04-01-9f-d7'],2021-07-21T09:07:37.854462Z,0
155,['00-80-00-00-04-01-9f-d7'],2021-06-05T21:32:31.185678Z,0
156,['00-80-00-00-04-01-9f-d7'],2021-06-12T02:40:22.943712Z,0
157,['00-80-00-00-04-01-9f-d7'],2021-06-23T21:29:47.284814Z,0
158,['00-80-00-00-04-01-9f-d7'],2021-09-04T09:45:32.176382Z,0
159,['00-80-00-00-04-01-9f-d7'],2021-08-01T19:31:42.795911Z,0
160,['00-80-00-00-04-01-9f-d7'],2021-06-20T04:01:05.362518Z,0
161,['00-80-00-00-04-01-9f-d7'],2021-07-26T23:56:31.563031Z,0
162,['00-80-00-00-04-01-9f-d7'],2021-06-19T05:21:01.076233Z,0
163,['00-80-00-00-04-01-9f-d7'],2021-08-20T03:32:44.703176Z,0
164,['00-80-00-00-04-01-9f-d7'],2021-06-11T08:46:40.258692Z,1
165,['00-80-00-00-04-01-9f-d7'],2021-06-26T11:32:07.609682Z,0
166,['00-80-00-00-04-01-9f-d7'],2021-08-22T02:04:29.105605Z,0
167,['00-80-00-00-04-01-9f-d7'],2021-08-23T13:51:58.653323Z,0
168,['00-80-00-00-04-01-9f-d7'],2021-08-29T10:35:37.707609Z,0
169,['00-80-00-00-04-01-9f-d7'],2021-06-30T22:31:06.581547Z,0
170,['00-80-00-00-04-01-9f-d7'],2021-06-04T05:08:06.114739Z,1
171,['00-80-00-00-04-01-9f-d7'],2021-06-20T12:22:12.685818Z,0
172,['00-80-00-00-04-01-9f-d7'],2021-08-18T19:20:03.184580Z,0
173,['00-80-00-00-04-01-9f-d7'],2021-08-30T23:34:43.906751Z,0
174,['00-80-00-00-04-01-9f-d7'],2021-09-07T05:45:50.113426Z,1
175,['00-80-00-00-04-01-9f-d7'],2021-06-12T20:34:12.626146Z,0
